,Name,Classification,Block,City,Province
20,The Pig and Palm,Restaurant,G/F MSY Tower PESCADORES RD,Cebu City,Cebu
21,Gerry's Grill - Robinsons Galleria Cebu,Restaurant,"Robinsons Galleria Cebu, General Maxilom Ave Ext",Cebu City,Cebu
22,Feria,Restaurant,"Radisson Blu Hotels and Resorts, Sergio Osmena Boulevard, Corner Juan Luna Avenue",Cebu City,Cebu
23,PHAT PHÓ,Restaurant,Robinsons Cybergate,Cebu City,Cebu
24,Kuya J - SM City Cebu,Restaurant,"SM City Cebu, Juan Luna Ave Cor Cabahug And Kaoshiung St",Cebu City,Cebu
27,Crimson Resort and Spa Mactan,Hotel,"Seascapes Resort Town, Mactan Island",Lapu-Lapu,Cebu
42,Dusit Thani Mactan Cebu Resort,Hotel,Punta Engano Road,Lapu-Lapu,Cebu
55,Kawasan Falls,Tourist Site,,Badian,Cebu
68,Basilica Minore del Santo Niño de Cebu,Tourist Site,Osmeña Blvd,Cebu City,Cebu
81,SkyWaterpark Cebu,Tourist Site,"6th Floor (Roof deck), J Centre Mall, A. S, 165 A. S. Fortuna St",Mandaue City,Cebu
85,The Palace Casino Cebu,Tourist Site,"Pajac-Maribago Rd, Maribago",Lapu-Lapu City,Cebu
86,Casino Filipino Salinas Drive,Tourist Site,"Waterfront Hotel, Salinas Dr",Cebu City,Cebu
